Cpu_data,time
16.0, 23:09:20
28.3, 23:09:23
52.3, 23:09:26
44.8, 23:09:29
61.5, 23:09:31
42.0, 23:09:34
53.3, 23:09:37
32.8, 23:09:40
32.6, 23:09:43
11.5, 23:09:47
21.4, 23:09:50
45.6, 23:09:53
9.6, 23:09:56
21.5, 23:09:59
8.8, 23:10:02
16.7, 23:10:04
3.5, 23:10:07
30.3, 23:10:10
26.3, 23:10:14
26.5, 23:10:16
43.9, 23:10:18
17.4, 23:10:19
36.2, 23:10:21
13.2, 23:10:25
17.9, 23:10:27
27.5, 23:10:30
12.5, 23:10:33
25.9, 23:10:36
6.2, 23:10:39
28.1, 23:10:42
3.2, 23:10:45
29.0, 23:10:48
9.4, 23:10:52
37.1, 23:10:55
28.6, 23:10:56
8.5, 23:10:59
9.9, 23:11:02
2.7, 23:11:05
19.3, 23:11:08
40.4, 23:11:11
6.8, 23:11:14
8.4, 23:11:17
4.5, 23:11:20
20.6, 23:11:23
13.8, 23:11:26
9.0, 23:11:29
13.2, 23:11:32
9.2, 23:11:35
4.0, 23:11:38
13.6, 23:11:41
7.5, 23:11:44
4.1, 23:11:47
4.0, 23:11:50
4.5, 23:11:53
20.3, 23:11:56
4.6, 23:11:59
8.1, 23:12:02
4.8, 23:12:05
3.3, 23:12:08
12.8, 23:12:11
2.4, 23:12:14
9.4, 23:12:17
3.0, 23:12:20
15.1, 23:12:23
12.0, 23:12:26
14.7, 23:12:29
10.6, 23:12:32
23.8, 23:12:35
3.5, 23:12:38
22.2, 23:12:41
3.9, 23:12:44
13.6, 23:12:47
3.4, 23:12:50
29.2, 23:12:53
10.8, 23:12:56
19.9, 23:12:59
2.5, 23:13:02
15.5, 23:13:05
3.3, 23:13:08
30.6, 23:13:11
2.3, 23:13:14
16.0, 23:13:17
2.6, 23:13:20
24.9, 23:13:23
9.9, 23:13:26
12.7, 23:13:29
2.6, 23:13:32
22.0, 23:13:35
3.6, 23:13:38
27.0, 23:13:41
5.6, 23:13:44
12.4, 23:13:47
4.1, 23:13:50
22.7, 23:13:53
11.2, 23:13:56
22.7, 23:13:59
14.2, 23:14:02
24.1, 23:14:05
4.8, 23:14:08
16.3, 23:14:11
8.9, 23:14:14
43.7, 23:14:17
7.8, 23:14:20
10.6, 23:14:23
8.5, 23:14:26
21.0, 23:14:29
7.9, 23:14:32
20.0, 23:14:35
5.6, 23:14:38
18.1, 23:14:41
6.2, 23:14:44
22.5, 23:14:47
7.4, 23:14:50
17.3, 23:14:53
4.5, 23:14:56
24.5, 23:14:59
9.9, 23:15:02
18.6, 23:15:44
12.8, 23:16:44
49.6, 23:16:50
64.3, 23:16:51
28.5, 23:16:53
7.2, 23:16:56
15.1, 23:16:59
6.6, 23:17:02
12.1, 23:17:06
8.9, 23:17:09
6.4, 23:17:12
11.3, 23:17:15
9.7, 23:17:18
16.3, 23:17:21
11.4, 23:17:24
26.9, 23:17:27
41.9, 23:17:28
29.2, 23:17:29
15.7, 23:17:31
25.6, 23:17:34
10.9, 23:17:37
24.6, 23:17:40
15.9, 23:17:44
15.0, 23:17:47
17.0, 23:17:50
3.8, 23:17:53
2.3, 23:17:56
6.6, 23:17:59
